16.0468	107.8842
17.5068	95.929
17.1264	77.6506
21.1024	62.7426
23.6322	46.401
17.2268	31.7026
17.5086	18.1086
32.4468	29.9446
42.1308	16.3148
40.569	41.397
38.8466	58.3024
35.1224	74.3522
31.021	88.5964
30.2322	102.7818
28.9084	117.3304
50.5508	30.1816
53.0102	49.4178
51.008	68.6012
48.6204	84.4018
47.2408	99.481
43.578	114.2092
63.7808	18.7804
64.3846	39.7868
65.2528	75.3464
62.1664	91.8186
58.9096	105.3808
56.778	118.7526
97.5994	41.3998
91.9842	80.3918
86.8818	99.7818
78.258	109.076
84.9188	121.0984
129.024 83.9188
144.123	93.3398
140.393	76.6622
153.057	82.262
157.260	90.4606
18.0246	60.1086
